season,round,track,driver,team,grid_pos,qualifying_lap_time,weather,race_incidents,mechanical_failures,odds,team_strength,perf_score,race_id,finishing_pos,top3
2022,5,Silverstone,Driver_20,Team_1,16,82.97383941061307,Mixed,1,0,37.9,1.3927889355973482,11.032658102734505,2022_5_Silverstone,1,1
2023,21,Spa,Driver_6,Team_10,10,97.69565295644303,Rain,0,0,18.41,0.784587421284895,1.86668456054353,2023_21_Spa,1,1
2021,5,Monza,Driver_18,Team_7,10,91.86075926582254,Mixed,0,0,53.9,0.708146443337144,9.473062705657682,2021_5_Monza,2,1
2023,10,Spa,Driver_8,Team_5,2,88.24199603325818,Mixed,3,0,3.4,0.8642461500455028,9.90051498486217,2023_10_Spa,2,1
2023,10,Spa,Driver_7,Team_5,9,69.40894307948464,Rain,0,0,22.22,0.8642461500455028,7.929644138730237,2023_10_Spa,1,1
2020,19,Monaco,Driver_1,Team_1,17,87.9649857935556,Rain,0,0,43.86,1.3927889355973482,6.989271526623391,2020_19_Monaco,1,1
2021,17,Suzuka,Driver_16,Team_10,11,91.70762415423849,Mixed,1,0,6.65,0.784587421284895,6.848082033553782,2021_17_Suzuka,2,1
2021,21,Monza,Driver_12,Team_6,10,96.62967548175934,Mixed,1,0,12.62,0.6157805971705403,5.101591536325902,2021_21_Monza,2,1
2021,14,Spa,Driver_6,Team_9,17,102.48759839279253,Rain,3,0,36.18,0.6962007892565877,16.702513849250092,2021_14_Spa,3,1
2023,9,Monza,Driver_20,Team_9,4,106.28026161092728,Dry,0,0,34.48,0.6962007892565877,5.506444361605288,2023_9_Monza,2,1
2022,14,Silverstone,Driver_2,Team_8,16,99.97013874498387,Rain,0,0,44.86,1.156157167762569,5.6748005590521755,2022_14_Silverstone,2,1
2021,1,Monaco,Driver_14,Team_5,20,85.50327739756645,Mixed,0,0,49.13,0.8642461500455028,11.37159295918914,2021_1_Monaco,5,0
2024,19,Silverstone,Driver_4,Team_1,15,87.56156728385808,Rain,0,0,9.46,1.3927889355973482,4.408200702888398,2024_19_Silverstone,2,1
2023,13,Monza,Driver_1,Team_9,5,95.91132376834946,Dry,1,0,3.07,0.6962007892565877,5.186206064611774,2023_13_Monza,1,1
